,Hour,Hour_count
53725,20,6859
53726,22,8256
53727,21,9135
53728,0,2941
53729,10,902
53730,20,6859
53731,22,8256
53732,7,690
53733,9,766
53734,19,4783
53735,0,2941
53736,22,8256
53737,3,1447
53738,3,1447
53739,20,6859
53740,2,1649
53741,6,952
53742,19,4783
53743,23,5744
53744,7,690
53745,22,8256
53746,5,1272
53747,21,9135
53748,21,9135
53749,1,2339
53750,23,5744
53751,0,2941
53752,22,8256
53753,23,5744
53754,21,9135
53755,20,6859
53756,17,1988
53757,19,4783
53758,19,4783
53759,9,766
53760,22,8256
53761,0,2941
53762,23,5744
53763,3,1447
53764,2,1649
53765,15,1063
53766,17,1988
53767,6,952
53768,21,9135
53769,5,1272
53770,3,1447
53771,18,3123
53772,20,6859
53773,20,6859
53774,21,9135
53775,19,4783
53776,14,956
53777,12,1016
53778,9,766
53779,17,1988
53780,7,690
53781,20,6859
53782,4,1114
53783,0,2941
53784,4,1114
53785,5,1272
53786,21,9135
53787,3,1447
53788,2,1649
53789,2,1649
53790,19,4783
53791,3,1447
53792,23,5744
53793,20,6859
53794,6,952
53795,21,9135
53796,0,2941
53797,0,2941
53798,22,8256
53799,22,8256
53800,23,5744
53801,3,1447
53802,2,1649
53803,12,1016
53804,23,5744
53805,0,2941
53806,19,4783
53807,23,5744
53808,23,5744
53809,21,9135
53810,19,4783
53811,18,3123
53812,22,8256
53813,17,1988
53814,19,4783
53815,22,8256
53816,22,8256
53817,1,2339
53818,20,6859
53819,0,2941
53820,1,2339
53821,7,690
53822,7,690
53823,22,8256
53824,19,4783
53825,20,6859
53826,23,5744
53827,22,8256
53828,21,9135
53829,16,1208
53830,0,2941
53831,20,6859
53832,17,1988
53833,1,2339
53834,19,4783
53835,21,9135
53836,2,1649
53837,1,2339
53838,20,6859
53839,20,6859
53840,19,4783
53841,8,617
53842,21,9135
53843,22,8256
53844,22,8256
53845,22,8256
53846,6,952
53847,7,690
53848,14,956
53849,23,5744
53850,13,962
53851,9,766
53852,21,9135
53853,22,8256
53854,0,2941
53855,0,2941
53856,22,8256
53857,9,766
53858,13,962
53859,23,5744
53860,6,952
53861,6,952
53862,21,9135
53863,22,8256
53864,17,1988
53865,21,9135
53866,23,5744
53867,1,2339
53868,7,690
53869,4,1114
53870,13,962
53871,23,5744
53872,21,9135
53873,23,5744
53874,21,9135
53875,2,1649
53876,20,6859
53877,20,6859
53878,21,9135
53879,1,2339
53880,19,4783
53881,21,9135
53882,8,617
53883,22,8256
53884,0,2941
53885,20,6859
53886,2,1649
53887,16,1208
53888,19,4783
53889,7,690
53890,22,8256
53891,20,6859
53892,3,1447
53893,17,1988
53894,21,9135
53895,1,2339
53896,21,9135
53897,14,956
53898,2,1649
53899,20,6859
53900,21,9135
53901,7,690
53902,22,8256
53903,0,2941
53904,18,3123
53905,22,8256
53906,19,4783
53907,19,4783
53908,23,5744
53909,20,6859
53910,13,962
53911,17,1988
53912,22,8256
53913,20,6859
53914,2,1649
