,Shape,Shape_count
14825,circle,5890
14826,disk,3853
14827,disk,3853
14828,fireball,4939
14829,fireball,4939
14830,flash,1025
14831,formation,1908
14832,formation,1908
14833,light,12895
14834,light,12895
14835,light,12895
14836,light,12895
14837,light,12895
14838,light,12895
14839,light,12895
14840,other,4209
14841,other,4209
14842,rectangle,1010
14843,sphere,4134
14844,sphere,4134
14845,sphere,4134
14846,teardrop,560
14847,teardrop,560
14848,unknown,4359
14849,unknown,4359
14850,unknown,4359
14851,changing,1517
14852,cigar,1569
14853,circle,5890
14854,circle,5890
14855,circle,5890
14856,circle,5890
14857,cylinder,977
14858,disk,3853
14859,disk,3853
14860,disk,3853
14861,egg,555
14862,fireball,4939
14863,fireball,4939
14864,light,12895
14865,light,12895
14866,light,12895
14867,light,12895
14868,other,4209
14869,other,4209
14870,other,4209
14871,other,4209
14872,other,4209
14873,other,4209
14874,other,4209
14875,oval,2881
14876,oval,2881
14877,rectangle,1010
14878,sphere,4134
14879,triangle,6268
14880,triangle,6268
14881,triangle,6268
14882,unknown,4359
14883,unknown,4359
14884,light,12895
14885,unknown,4359
14886,fireball,4939
14887,flash,1025
14888,light,12895
14889,oval,2881
14890,sphere,4134
14891,cigar,1569
14892,circle,5890
14893,disk,3853
14894,fireball,4939
14895,fireball,4939
14896,light,12895
14897,light,12895
14898,light,12895
14899,other,4209
14900,oval,2881
14901,oval,2881
14902,sphere,4134
14903,sphere,4134
14904,triangle,6268
14905,unknown,4359
14906,unknown,4359
14907,chevron,774
14908,chevron,774
14909,circle,5890
14910,circle,5890
14911,circle,5890
14912,disk,3853
14913,disk,3853
14914,disk,3853
14915,egg,555
14916,egg,555
14917,fireball,4939
14918,fireball,4939
14919,fireball,4939
14920,formation,1908
14921,light,12895
14922,light,12895
14923,light,12895
14924,light,12895
14925,light,12895
14926,light,12895
14927,light,12895
14928,light,12895
14929,other,4209
14930,other,4209
14931,sphere,4134
14932,sphere,4134
14933,sphere,4134
14934,triangle,6268
14935,triangle,6268
14936,triangle,6268
14937,unknown,4359
14938,changing,1517
14939,circle,5890
14940,circle,5890
14941,circle,5890
14942,circle,5890
14943,fireball,4939
14944,fireball,4939
14945,fireball,4939
14946,fireball,4939
14947,flash,1025
14948,flash,1025
14949,light,12895
14950,light,12895
14951,light,12895
14952,light,12895
14953,other,4209
14954,other,4209
14955,other,4209
14956,sphere,4134
14957,sphere,4134
14958,triangle,6268
14959,unknown,4359
14960,unknown,4359
14961,unknown,4359
14962,circle,5890
14963,circle,5890
14964,circle,5890
14965,circle,5890
14966,fireball,4939
14967,fireball,4939
14968,fireball,4939
14969,fireball,4939
14970,light,12895
14971,light,12895
14972,light,12895
14973,light,12895
14974,light,12895
14975,rectangle,1010
14976,triangle,6268
14977,triangle,6268
14978,triangle,6268
14979,unknown,4359
14980,unknown,4359
14981,fireball,4939
14982,light,12895
14983,unknown,4359
14984,circle,5890
14985,unknown,4359
14986,other,4209
14987,cross,177
14988,cylinder,977
14989,cylinder,977
14990,fireball,4939
14991,light,12895
14992,sphere,4134
14993,triangle,6268
14994,triangle,6268
14995,triangle,6268
14996,light,12895
14997,light,12895
14998,light,12895
14999,light,12895
15000,light,12895
15001,unknown,4359
15002,light,12895
15003,circle,5890
15004,fireball,4939
15005,formation,1908
15006,light,12895
15007,light,12895
15008,other,4209
15009,sphere,4134
15010,teardrop,560
15011,triangle,6268
15012,changing,1517
15013,cigar,1569
15014,cigar,1569
15015,circle,5890
15016,circle,5890
15017,circle,5890
15018,disk,3853
15019,formation,1908
15020,light,12895
15021,light,12895
15022,light,12895
15023,light,12895
15024,light,12895
15025,light,12895
15026,light,12895
15027,light,12895
15028,light,12895
15029,light,12895
15030,light,12895
15031,other,4209
15032,other,4209
15033,other,4209
15034,other,4209
15035,sphere,4134
15036,sphere,4134
15037,teardrop,560
15038,unknown,4359
15039,unknown,4359
15040,egg,555
15041,light,12895
15042,teardrop,560
15043,teardrop,560
15044,unknown,4359
15045,changing,1517
15046,circle,5890
15047,light,12895
15048,sphere,4134
15049,unknown,4359
15050,unknown,4359
15051,cigar,1569
15052,circle,5890
15053,circle,5890
15054,egg,555
15055,light,12895
15056,fireball,4939
15057,triangle,6268
15058,triangle,6268
15059,oval,2881
15060,circle,5890
15061,changing,1517
15062,cigar,1569
15063,triangle,6268
15064,light,12895
15065,circle,5890
15066,circle,5890
15067,circle,5890
15068,circle,5890
15069,circle,5890
15070,circle,5890
15071,circle,5890
15072,disk,3853
15073,disk,3853
15074,disk,3853
15075,fireball,4939
15076,fireball,4939
15077,fireball,4939
15078,fireball,4939
15079,fireball,4939
15080,fireball,4939
15081,fireball,4939
15082,light,12895
15083,light,12895
15084,light,12895
15085,light,12895
15086,other,4209
15087,oval,2881
15088,oval,2881
15089,sphere,4134
15090,sphere,4134
15091,triangle,6268
15092,triangle,6268
15093,triangle,6268
15094,triangle,6268
15095,triangle,6268
15096,unknown,4359
15097,unknown,4359
15098,unknown,4359
15099,unknown,4359
15100,unknown,4359
15101,unknown,4359
15102,changing,1517
15103,cigar,1569
15104,cigar,1569
15105,circle,5890
15106,circle,5890
15107,cone,235
15108,disk,3853
15109,disk,3853
15110,disk,3853
15111,fireball,4939
15112,fireball,4939
15113,fireball,4939
15114,fireball,4939
15115,fireball,4939
15116,formation,1908
15117,light,12895
15118,light,12895
15119,light,12895
15120,light,12895
15121,light,12895
15122,light,12895
15123,other,4209
15124,oval,2881
15125,oval,2881
15126,oval,2881
15127,sphere,4134
15128,sphere,4134
15129,sphere,4134
15130,sphere,4134
15131,unknown,4359
15132,unknown,4359
15133,unknown,4359
15134,circle,5890
15135,flash,1025
15136,light,12895
15137,light,12895
15138,cigar,1569
15139,fireball,4939
15140,flash,1025
15141,light,12895
15142,light,12895
15143,light,12895
15144,sphere,4134
15145,triangle,6268
15146,unknown,4359
15147,circle,5890
15148,diamond,884
15149,light,12895
15150,light,12895
15151,light,12895
15152,light,12895
15153,oval,2881
15154,oval,2881
15155,triangle,6268
15156,triangle,6268
15157,triangle,6268
15158,triangle,6268
15159,fireball,4939
15160,unknown,4359
15161,fireball,4939
15162,fireball,4939
15163,chevron,774
15164,circle,5890
15165,cone,235
15166,cylinder,977
15167,disk,3853
15168,disk,3853
15169,fireball,4939
15170,light,12895
15171,light,12895
15172,light,12895
15173,light,12895
15174,other,4209
15175,triangle,6268
15176,changing,1517
15177,light,12895
15178,unknown,4359
15179,unknown,4359
15180,fireball,4939
15181,light,12895
15182,cone,235
15183,changing,1517
15184,changing,1517
15185,changing,1517
15186,changing,1517
15187,cigar,1569
15188,cigar,1569
15189,circle,5890
15190,circle,5890
15191,circle,5890
15192,circle,5890
15193,circle,5890
15194,circle,5890
15195,diamond,884
15196,disk,3853
15197,egg,555
15198,egg,555
15199,fireball,4939
15200,fireball,4939
15201,flash,1025
15202,flash,1025
15203,light,12895
15204,light,12895
15205,light,12895
15206,light,12895
15207,light,12895
15208,light,12895
15209,light,12895
15210,light,12895
15211,light,12895
15212,other,4209
15213,other,4209
15214,oval,2881
15215,oval,2881
15216,oval,2881
15217,oval,2881
15218,rectangle,1010
15219,rectangle,1010
15220,rectangle,1010
15221,sphere,4134
15222,triangle,6268
15223,triangle,6268
15224,triangle,6268
15225,triangle,6268
15226,triangle,6268
15227,triangle,6268
15228,triangle,6268
15229,triangle,6268
15230,unknown,4359
15231,unknown,4359
15232,circle,5890
15233,formation,1908
15234,triangle,6268
15235,fireball,4939
15236,light,12895
15237,triangle,6268
15238,other,4209
15239,light,12895
15240,unknown,4359
15241,circle,5890
15242,oval,2881
15243,fireball,4939
15244,fireball,4939
15245,fireball,4939
15246,formation,1908
15247,light,12895
15248,other,4209
15249,oval,2881
15250,oval,2881
15251,oval,2881
15252,sphere,4134
15253,triangle,6268
15254,triangle,6268
15255,unknown,4359
15256,disk,3853
15257,light,12895
15258,unknown,4359
15259,unknown,4359
15260,circle,5890
15261,disk,3853
15262,light,12895
15263,oval,2881
15264,sphere,4134
15265,changing,1517
15266,light,12895
15267,sphere,4134
15268,triangle,6268
15269,unknown,4359
15270,light,12895
15271,circle,5890
15272,light,12895
15273,other,4209
15274,triangle,6268
15275,changing,1517
15276,circle,5890
15277,diamond,884
15278,fireball,4939
15279,fireball,4939
15280,fireball,4939
15281,fireball,4939
15282,light,12895
15283,light,12895
15284,light,12895
15285,other,4209
15286,oval,2881
15287,sphere,4134
15288,sphere,4134
15289,teardrop,560
15290,circle,5890
15291,disk,3853
15292,unknown,4359
15293,disk,3853
15294,triangle,6268
15295,circle,5890
15296,circle,5890
15297,circle,5890
15298,circle,5890
15299,cylinder,977
15300,fireball,4939
15301,light,12895
15302,light,12895
15303,triangle,6268
15304,fireball,4939
15305,fireball,4939
15306,light,12895
15307,light,12895
15308,light,12895
15309,other,4209
15310,other,4209
15311,oval,2881
15312,unknown,4359
15313,unknown,4359
15314,egg,555
15315,chevron,774
