,Year,Year_count
14071,2012,6096
14072,2012,6096
14073,2011,4215
14074,2011,4215
14075,2009,3502
14076,2013,5862
14077,2007,3338
14078,1995,378
14079,2000,2012
14080,2011,4215
14081,2011,4215
14082,2013,5862
14083,2002,2298
14084,2013,5862
14085,2008,3867
14086,2011,4215
14087,2001,2295
14088,2004,3067
14089,2004,3067
14090,1998,1191
14091,2001,2295
14092,2010,3423
14093,1975,228
14094,2003,2782
14095,2013,5862
14096,2011,4215
14097,1985,153
14098,2010,3423
14099,2006,2749
14100,2009,3502
14101,2012,6096
14102,2012,6096
14103,2013,5862
14104,2003,2782
14105,2013,5862
14106,2011,4215
14107,2003,2782
14108,2003,2782
14109,1996,396
14110,2012,6096
14111,2013,5862
14112,2012,6096
14113,2009,3502
14114,2013,5862
14115,1974,200
14116,2010,3423
14117,2013,5862
14118,2000,2012
14119,2008,3867
14120,2004,3067
14121,2008,3867
14122,2007,3338
14123,2009,3502
14124,2013,5862
14125,1993,204
14126,2012,6096
14127,2012,6096
14128,2011,4215
14129,2012,6096
14130,1999,1924
14131,2008,3867
14132,2004,3067
14133,2013,5862
14134,2013,5862
14135,2003,2782
14136,2013,5862
14137,1997,856
14138,1997,856
14139,2000,2012
14140,1997,856
14141,2011,4215
14142,2012,6096
14143,2011,4215
14144,2010,3423
14145,2012,6096
14146,2012,6096
14147,2012,6096
14148,2008,3867
14149,2013,5862
14150,2012,6096
14151,2012,6096
14152,2012,6096
14153,2003,2782
14154,2010,3423
14155,2013,5862
14156,2013,5862
14157,2010,3423
14158,2007,3338
14159,2012,6096
14160,2013,5862
14161,2012,6096
14162,2011,4215
14163,2012,6096
14164,2012,6096
14165,2008,3867
14166,1968,157
14167,2002,2298
14168,2011,4215
14169,1954,32
14170,2007,3338
14171,2005,3046
14172,2009,3502
14173,1999,1924
14174,1981,123
14175,2009,3502
14176,2002,2298
14177,2009,3502
14178,2009,3502
14179,1990,170
14180,2005,3046
14181,1966,144
14182,1998,1191
14183,2007,3338
14184,2013,5862
14185,1993,204
14186,2002,2298
14187,2007,3338
14188,2009,3502
14189,2000,2012
14190,2000,2012
14191,2006,2749
14192,2012,6096
14193,2011,4215
14194,2004,3067
14195,2004,3067
14196,2011,4215
14197,2014,1894
14198,2003,2782
14199,2012,6096
14200,2008,3867
14201,2010,3423
14202,2011,4215
14203,2001,2295
14204,2012,6096
14205,2000,2012
14206,1980,179
14207,1990,170
14208,2000,2012
14209,2009,3502
14210,2011,4215
14211,2013,5862
14212,2008,3867
14213,2001,2295
14214,2010,3423
14215,1989,180
14216,2013,5862
14217,2013,5862
14218,2014,1894
14219,2007,3338
14220,2005,3046
14221,2012,6096
14222,2008,3867
14223,2012,6096
14224,2012,6096
14225,1993,204
14226,2011,4215
14227,2003,2782
14228,1999,1924
14229,2008,3867
14230,2012,6096
14231,2012,6096
14232,2003,2782
14233,1999,1924
14234,2013,5862
14235,1997,856
14236,2011,4215
14237,1995,378
14238,2004,3067
14239,2004,3067
14240,2013,5862
14241,1984,131
14242,1988,163
14243,2012,6096
14244,2012,6096
14245,2010,3423
14246,2013,5862
14247,2007,3338
14248,1974,200
14249,2011,4215
14250,2012,6096
14251,2007,3338
14252,1999,1924
14253,2012,6096
14254,2005,3046
14255,2009,3502
14256,2007,3338
14257,2012,6096
14258,2005,3046
14259,2006,2749
14260,2009,3502
14261,2012,6096
14262,2005,3046
14263,2007,3338
14264,2005,3046
14265,2012,6096
14266,2012,6096
14267,2013,5862
14268,1972,107
14269,2002,2298
14270,2004,3067
14271,2010,3423
14272,2006,2749
14273,2008,3867
14274,1994,283
14275,2006,2749
14276,2002,2298
14277,2002,2298
14278,2001,2295
14279,2007,3338
14280,2011,4215
14281,2008,3867
14282,2002,2298
14283,1990,170
14284,1999,1924
14285,2012,6096
14286,2014,1894
14287,2001,2295
14288,1969,114
14289,2010,3423
14290,1976,206
14291,1999,1924
14292,2011,4215
14293,2005,3046
14294,2014,1894
14295,2000,2012
14296,2010,3423
14297,2012,6096
14298,2010,3423
14299,2008,3867
14300,2012,6096
14301,2004,3067
14302,2006,2749
14303,2000,2012
14304,2006,2749
14305,2006,2749
14306,1964,69
14307,2005,3046
14308,2010,3423
14309,2003,2782
14310,2006,2749
14311,2008,3867
14312,2006,2749
14313,2006,2749
14314,2006,2749
14315,2011,4215
14316,1997,856
14317,2006,2749
14318,2013,5862
14319,2008,3867
14320,2009,3502
14321,2008,3867
14322,2008,3867
14323,2014,1894
14324,2003,2782
14325,2013,5862
14326,2012,6096
14327,2012,6096
14328,2004,3067
14329,2013,5862
14330,2009,3502
14331,2009,3502
14332,2008,3867
14333,2000,2012
14334,2014,1894
14335,2002,2298
14336,2014,1894
14337,2012,6096
14338,2007,3338
14339,2011,4215
14340,2012,6096
14341,2013,5862
14342,2012,6096
14343,2004,3067
14344,2010,3423
14345,2010,3423
14346,2011,4215
14347,2012,6096
14348,2011,4215
14349,2005,3046
14350,2013,5862
14351,1994,283
14352,2012,6096
14353,2013,5862
14354,2009,3502
14355,2009,3502
14356,2004,3067
14357,2011,4215
14358,2001,2295
14359,2012,6096
14360,2007,3338
14361,2012,6096
14362,2013,5862
14363,2006,2749
14364,2007,3338
14365,2002,2298
14366,2012,6096
14367,2012,6096
14368,2006,2749
14369,2008,3867
14370,2009,3502
14371,2005,3046
14372,2006,2749
14373,2006,2749
14374,2012,6096
14375,2012,6096
14376,2007,3338
14377,2012,6096
14378,1967,138
14379,1998,1191
14380,2013,5862
14381,2014,1894
14382,2014,1894
14383,2003,2782
14384,2011,4215
14385,2011,4215
14386,1999,1924
14387,2010,3423
14388,2012,6096
14389,2013,5862
14390,2013,5862
14391,2002,2298
14392,2002,2298
14393,2013,5862
14394,2010,3423
14395,2008,3867
14396,2013,5862
14397,2014,1894
14398,2002,2298
14399,2004,3067
14400,2014,1894
14401,1999,1924
14402,2006,2749
14403,2005,3046
14404,2009,3502
14405,2009,3502
14406,2009,3502
14407,2004,3067
14408,2007,3338
14409,2014,1894
14410,2012,6096
14411,1972,107
14412,2014,1894
14413,2009,3502
14414,2003,2782
14415,2013,5862
14416,2000,2012
14417,2004,3067
14418,2013,5862
14419,2012,6096
14420,2002,2298
14421,2005,3046
14422,2001,2295
14423,2013,5862
14424,2001,2295
14425,2007,3338
14426,2001,2295
14427,2009,3502
14428,2012,6096
14429,2005,3046
14430,2003,2782
14431,2013,5862
14432,2010,3423
14433,2005,3046
14434,2013,5862
14435,2004,3067
14436,2013,5862
14437,2005,3046
14438,2014,1894
14439,2014,1894
14440,2007,3338
14441,2001,2295
14442,2007,3338
14443,2011,4215
14444,2013,5862
14445,2014,1894
14446,2008,3867
14447,2007,3338
14448,2007,3338
14449,2007,3338
14450,2010,3423
14451,2009,3502
14452,2002,2298
14453,2000,2012
14454,2000,2012
14455,2014,1894
14456,2007,3338
14457,2013,5862
14458,2012,6096
14459,2008,3867
14460,2014,1894
14461,2012,6096
14462,2010,3423
14463,2011,4215
14464,2011,4215
14465,1998,1191
14466,2004,3067
14467,2001,2295
14468,2012,6096
14469,2004,3067
14470,2000,2012
14471,2014,1894
14472,2000,2012
14473,2012,6096
14474,2014,1894
14475,2006,2749
14476,2000,2012
14477,1999,1924
14478,2009,3502
14479,2002,2298
14480,2009,3502
14481,2007,3338
14482,2007,3338
14483,2002,2298
14484,2008,3867
14485,1998,1191
14486,2003,2782
14487,2004,3067
14488,2008,3867
14489,2010,3423
14490,2002,2298
14491,2011,4215
14492,2001,2295
14493,2011,4215
14494,2007,3338
14495,2011,4215
14496,2011,4215
14497,2009,3502
14498,2011,4215
14499,2009,3502
14500,2004,3067
14501,2003,2782
14502,2012,6096
14503,2010,3423
14504,2003,2782
14505,2013,5862
14506,2008,3867
14507,1988,163
14508,2005,3046
14509,2013,5862
14510,2014,1894
14511,2011,4215
14512,2008,3867
14513,2009,3502
14514,1985,153
14515,2011,4215
14516,2011,4215
14517,2007,3338
14518,1976,206
14519,1995,378
14520,2012,6096
14521,2009,3502
14522,2004,3067
14523,2005,3046
14524,2010,3423
14525,2004,3067
14526,2011,4215
14527,2006,2749
14528,1996,396
14529,2010,3423
14530,2007,3338
14531,2007,3338
14532,2013,5862
14533,2013,5862
14534,1989,180
14535,2008,3867
14536,2001,2295
14537,2007,3338
14538,2002,2298
14539,1999,1924
14540,2014,1894
14541,1960,46
14542,2010,3423
14543,2006,2749
14544,1984,131
14545,2000,2012
14546,1992,168
14547,1988,163
14548,1969,114
14549,2012,6096
14550,2014,1894
14551,2006,2749
14552,2011,4215
14553,2003,2782
14554,2002,2298
14555,2008,3867
14556,2009,3502
14557,2013,5862
14558,2008,3867
14559,2014,1894
14560,2011,4215
14561,2007,3338
14562,1998,1191
14563,2012,6096
14564,2008,3867
14565,2012,6096
14566,2012,6096
14567,2013,5862
14568,2012,6096
14569,2014,1894
14570,2007,3338
14571,2003,2782
14572,2008,3867
14573,2014,1894
14574,2014,1894
14575,2011,4215
14576,2008,3867
14577,2014,1894
14578,2010,3423
14579,1998,1191
14580,2013,5862
14581,2013,5862
14582,2013,5862
14583,2002,2298
14584,2008,3867
14585,2012,6096
14586,2012,6096
14587,2013,5862
14588,2011,4215
14589,2003,2782
14590,2002,2298
14591,2010,3423
14592,1993,204
14593,2010,3423
14594,2006,2749
14595,2003,2782
14596,2013,5862
14597,2013,5862
14598,2013,5862
14599,2013,5862
14600,2013,5862
14601,2013,5862
14602,2013,5862
14603,2013,5862
14604,2013,5862
14605,2013,5862
14606,2013,5862
14607,2013,5862
14608,2013,5862
14609,2013,5862
14610,2013,5862
14611,2013,5862
14612,2013,5862
14613,2013,5862
14614,2013,5862
14615,2013,5862
14616,2013,5862
14617,2001,2295
14618,2007,3338
14619,2004,3067
14620,2012,6096
14621,2004,3067
14622,2007,3338
14623,2004,3067
14624,2013,5862
14625,1985,153
14626,1994,283
14627,2003,2782
14628,1995,378
14629,2009,3502
14630,2014,1894
14631,1967,138
14632,2003,2782
14633,2003,2782
14634,2006,2749
14635,2012,6096
14636,1971,88
14637,1994,283
14638,2012,6096
14639,2005,3046
14640,2007,3338
14641,2013,5862
14642,2013,5862
14643,2002,2298
14644,2007,3338
14645,2012,6096
14646,2009,3502
14647,2005,3046
14648,2010,3423
14649,2014,1894
14650,2006,2749
14651,2006,2749
14652,2000,2012
14653,2011,4215
14654,2012,6096
14655,2008,3867
14656,1987,156
14657,2000,2012
14658,2011,4215
14659,2002,2298
14660,2013,5862
14661,2012,6096
14662,2002,2298
14663,2010,3423
14664,2009,3502
14665,2003,2782
14666,2013,5862
14667,2013,5862
14668,2011,4215
14669,2013,5862
14670,2012,6096
14671,2005,3046
14672,2013,5862
14673,2008,3867
14674,1997,856
14675,1997,856
14676,2013,5862
14677,2007,3338
14678,2009,3502
14679,2006,2749
14680,2010,3423
14681,2013,5862
14682,2006,2749
14683,2011,4215
14684,2013,5862
14685,2013,5862
14686,2008,3867
14687,2008,3867
14688,2013,5862
14689,2011,4215
14690,2007,3338
14691,2002,2298
14692,2007,3338
14693,2013,5862
14694,2011,4215
14695,2002,2298
14696,2014,1894
14697,2014,1894
14698,2014,1894
14699,2009,3502
14700,2012,6096
14701,2013,5862
14702,2003,2782
14703,2003,2782
14704,2011,4215
14705,2012,6096
14706,2000,2012
14707,2001,2295
14708,2005,3046
14709,2009,3502
14710,2009,3502
14711,2001,2295
14712,2011,4215
14713,1963,56
14714,2010,3423
14715,2012,6096
14716,2004,3067
14717,2002,2298
14718,2007,3338
14719,1998,1191
14720,2009,3502
14721,2004,3067
14722,2011,4215
14723,1975,228
14724,2001,2295
14725,2013,5862
14726,1998,1191
14727,2004,3067
14728,1985,153
14729,2014,1894
14730,2012,6096
14731,2006,2749
14732,2000,2012
14733,1989,180
14734,1999,1924
14735,2011,4215
14736,2008,3867
14737,2004,3067
14738,1999,1924
14739,2012,6096
14740,2008,3867
14741,2005,3046
14742,2008,3867
14743,2009,3502
14744,2011,4215
14745,2009,3502
14746,2014,1894
14747,2014,1894
14748,2005,3046
14749,2013,5862
14750,2012,6096
14751,2002,2298
14752,2010,3423
14753,2014,1894
14754,2012,6096
14755,1996,396
14756,2013,5862
14757,2014,1894
14758,2000,2012
14759,2011,4215
14760,2012,6096
14761,2008,3867
14762,2002,2298
14763,2014,1894
14764,2014,1894
14765,2014,1894
14766,2012,6096
14767,2003,2782
14768,2005,3046
14769,2012,6096
14770,1977,190
14771,2013,5862
14772,2009,3502
14773,2008,3867
14774,2012,6096
14775,2004,3067
14776,2005,3046
14777,2005,3046
14778,2012,6096
14779,2008,3867
14780,2004,3067
14781,2010,3423
14782,2003,2782
14783,2011,4215
14784,2008,3867
14785,2013,5862
14786,2014,1894
14787,1996,396
14788,2010,3423
14789,1990,170
14790,2007,3338
14791,2012,6096
14792,2008,3867
14793,2003,2782
14794,2000,2012
14795,2013,5862
14796,2012,6096
14797,1970,96
14798,2008,3867
14799,2005,3046
14800,2011,4215
14801,2005,3046
14802,2013,5862
14803,2012,6096
14804,2012,6096
14805,2010,3423
14806,2003,2782
14807,2013,5862
14808,2011,4215
14809,2014,1894
14810,2001,2295
14811,2004,3067
14812,2011,4215
14813,2013,5862
